controller,scenario,seed,success,collision,steps,path_length,min_clearance,near_misses,overrides,adaptation_lag,mean_progress
liquid_supervisor,u_trap,420173,1,0,49,15.680000000000007,0.3567122824064463,0,0,8,0.21654772846023673
fixed_policy,u_trap,420190,1,0,46,14.720000000000008,0.7133114943331433,0,0,8,0.23442699983508114
liquid_online,u_trap,420190,1,0,52,16.640000000000008,0.02210060612103021,4,0,8,0.20823188802600553
liquid_supervisor,u_trap,420190,1,0,51,16.320000000000014,0.35182768174476114,0,2,8,0.211460967239577
fixed_policy,u_trap,420207,1,0,41,13.120000000000006,0.4905654952705733,0,0,8,0.26281895887996426
liquid_online,u_trap,420207,1,0,51,16.319999999999997,0.07718242385894464,6,0,8,0.20796534331551952
liquid_supervisor,u_trap,420207,1,0,48,15.36000000000001,0.5466044781232642,0,0,8,0.2256134875686996
fixed_policy,u_trap,420224,1,0,43,13.760000000000007,0.628226714010081,0,0,8,0.2487532696142522
liquid_online,u_trap,420224,1,0,52,16.64,0.16040521383473189,5,0,8,0.2047844109477193
liquid_supervisor,u_trap,420224,1,0,94,30.080000000000016,0.40856158094331313,0,1,8,0.11267150813031253
fixed_policy,u_trap,420241,1,0,45,14.400000000000011,0.658164997184512,0,0,8,0.23271854855716068
liquid_online,u_trap,420241,1,0,52,16.64000000000001,0.38586016406981977,0,0,8,0.20095442965631513
liquid_supervisor,u_trap,420241,1,0,52,16.64000000000001,0.38586016406981977,0,0,8,0.20095442965631513
fixed_policy,u_trap,420258,1,0,40,12.799999999999999,0.636661863663051,0,0,8,0.2636690839116791
liquid_online,u_trap,420258,1,0,53,16.96000000000001,0.30780150183293004,1,0,8,0.20106768372986666
liquid_supervisor,u_trap,420258,1,0,68,21.760000000000016,0.3643579300348791,0,2,8,0.15535081971548448
fixed_policy,u_trap,420275,1,0,42,13.440000000000008,0.7623838120177764,0,0,8,0.25265430290488994
liquid_online,u_trap,420275,1,0,47,15.040000000000004,0.5800435490167812,0,0,8,0.22619376842315503
liquid_supervisor,u_trap,420275,1,0,48,15.360000000000005,0.37969570491409205,0,1,8,0.22487155145571688
fixed_policy,u_trap,420292,1,0,64,20.480000000000008,0.49371819080793106,0,0,8,0.16571947334595705
liquid_online,u_trap,420292,1,0,49,15.68000000000001,0.09878529312292267,2,0,8,0.21899801545348763
liquid_supervisor,u_trap,420292,1,0,47,15.04000000000001,0.4618346818517622,0,1,8,0.22718296013147396
fixed_policy,u_trap,420309,1,0,42,13.440000000000007,0.3692842611427802,0,0,8,0.2552020796585022
liquid_online,u_trap,420309,1,0,48,15.360000000000012,0.033571925759088794,5,0,8,0.22565768565566005
liquid_supervisor,u_trap,420309,1,0,47,15.04000000000001,0.3781125299332175,0,2,8,0.2303009242623211
fixed_policy,u_trap,420326,1,0,48,15.360000000000003,0.5900429834926666,0,0,8,0.22327688247218225
liquid_online,u_trap,420326,1,0,49,15.680000000000003,0.03888052369369327,3,0,8,0.2171024896203664
liquid_supervisor,u_trap,420326,1,0,48,15.360000000000008,0.3816485723733875,0,1,8,0.22240189915684463
